Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,All Day Event,Timezone,Event Venue Name,Event Category,Event Tags,Event Website
Introduction to Web Development,This is an introduction geared for anyone interested in developing for the web. In the last 7 years alone web traffic has increased drastically and modern web development has evolved from HTML and CSS to fully fleged frameworks able to handle these large traffic loads. We will give a broad introduction to the modern languages and frameworks that are used in the developer community and give some advice on how best to get started.,2017-06-14,11:00:00,2017-06-14,12:30:00,false,America/Chicago,"1525 Perimeter Parkway, Huntsville",IEEE Computer Society,"#web, #html, #JS, #Javascript, #Python, #PHP",https://events.vtools.ieee.org/m/44041
"RPC’s and Microservices with Node.js, A Modern Approach","Remote Procedure Call (RPC) dates back to the 1970s, and in 2017, are not going away anytime soon. This will cover a brief history of RPC, how RPCs work, and how breaking monolithic architecture into microservices architecture we can use RPC as the inter-communication between the services. The RPC framework employed for demonstration purposes will be Google’s gRPC with Node.js doing some of the heavy lifting.",2017-10-19,11:30:00,2017-10-19,12:30:00,false,America/Chicago,"Georgia Tech Research Institute | Applied Systems Laboratory, Huntsville",IEEE Computer Society,"#gRPC, #RPC, #NodeJS",https://events.vtools.ieee.org/m/47048
Cybersecurity Research and Computing Education at the University of Alabama in Huntsville,"Dr. Letha Etzkorn and Dr. Rhonda Gaede, both Professors at the University of Alabama in Huntsville, will be speaking about grants received from the National Security Agency (NSA) for Cybersecurity research. They will also be speaking about a new Bachelor's and Master's degree in Cybersecurity. 
 The first NSA grant, Dielectric: Lightweight Virtualization for Insulating Cyber Physical and Cloud Applications , they determined various security improvements that can be added both to a Cloud and to an embedded system. They examined ways to improve visibility in communication between virtual machines on the same computer, which has previously been difficult to monitor. They were able to provide a security-hardened version of the Xen hypervisor by adding intrusion detection systems (IDS) inside the Xen hypervisor. They showed that this kind of IDS can be applied to a cloud and to an embedded system without greatly affecting efficiency. They further showed that these kinds of IDS can be moved into FPGAs for both cloud and embedded system operation, which provides an additional level of security. 
 The second NSA grant, Hypervisor Secured OpenPLC (capacity building within Cybersecurity Education for U.S. Army Reservists, T. Morris (PI)), they examined OpenPLC, an open source Programmable Logic Controller (PLC) that was developed by a UAH Ph.D. student (Thiago Alves). OpenPLC allows mainstream general purpose embedded computing platforms such as ODroid or Raspberry Pi to be used as PLCs. This involved examining the impact of hypervisor virtualization on a platform for providing secure services to OpenPLC. The introduction of a hypervisor into an Industrial Control System (ICS) provides isolation between user applications since each application may execute within its own VM. To determine if it is reasonable for soft real time control systems (power distribution systems, chemical plants) to be developed as applications sitting on top of a hypervisor, we did performance measurements of an ODroid C2 running OpenPLC. (Soft real time means that there is a deadline but missing it would not be critical.) 
 The third NSA grant, Hands-on Learning Modules for Infusion of Cybersecurity Education Throughout Computing Curriculum , they are developing hands-on cybersecurity modules, to be made available online to other instructors. These modules will allow cybersecurity content in courses (especially required courses) where the major focus is not cybersecurity. For undergraduate early programming courses: file integrity hashes, introduction to debuggers. For embedded systems courses: embedded systems threat modules, securing embedded systems, vulnerabilities in embedded systems. For hardware/software co-design courses: hardware-based security and secure processors. For Software engineering courses: static analysis and dynamic analysis. For operating systems and virtualization courses: virtualization, two factor authentications, Security Enhanced Linux (SELinux), Kali Linux. For Networking courses: software defined networks, intrusion detection. For cloud courses: software defined networks in the cloud. Some modules apply at graduate levels, some at undergraduate levels.",2018-04-18,11:00:00,2018-04-18,12:30:00,false,US/Central,"1525 Perimeter Parkway, Huntsville",IEEE Computer Society,"#cybersecurity, #nsa, #hypervisor, #computing",https://events.vtools.ieee.org/m/171212
IEEE Distinguished Lecturer Liangping Ma - 5G Technologies and Standards,"Alabama Section and the Communication Society has invited Liangping Ma from InterDigital, Inc. to talk to us about 5G Technologies, Standards and Commercialization 
 5G is coming soon, as clearly evidenced by recent Winter Olympic 5G demos in South Korea and industrial shows such as the 2018 Mobile World Congress (MWC). But what is 5G? What is the relationship to existing standards such as LTE and Wi-Fi? In this talk, we give a holistic view of 5G. We look at key technologies at the radio access network - the New Radio (NR) - and dive into the details of waveforms, numerology, channel coding, MIMO and mmWave. We also cover the core network - Next Generation Core (NGC) - and explain how NR and NGC together may deliver the extraordinary performance. We describe the 3GPP standards status and look at the landscape of 5G commercialization, including potential killer applications, ecosystems and the impact of regulatory policies.",2018-08-02,11:30:00,2018-08-02,13:00:00,false,US/Central,"901 Explorer Blvd, Huntsville",IEEE Computer Society,"#5G, #Mobile, #NGC, #MWC, #NR",https://events.vtools.ieee.org/m/174323
RTI DDS Lunch and Learn,"Come out and learn about the technology that won the 2018 CODiE Award for Best IoT Solution. Data distribution service, DDS, is a data-centric publish-subscribe technology with real-time quality of service that is massively scalable. Come out and learn about this interesting product.",2018-08-15,11:30:00,2018-08-15,13:00:00,false,US/Central,"1525 Perimeter Parkway, Huntsville",IEEE Computer Society,"#RTI, #DDS, #development, #publish, #subscribe, #IoT",https://events.vtools.ieee.org/m/175179
How to manage with Agile,Software processes have been around as long as we have had software. There has been a recent push in our field for the Agile Software Development over other methods of development. This very brief lunch and learn will go over what it means to have an agile project and some best practices for your projects. This is also a great opportunity to ask any questions from those of us who are actively managing these types of projects.,2019-11-13,11:30:00,2019-11-13,12:30:00,false,America/Chicago,"1525 Permeter Parkway, Huntsville",IEEE Computer Society,"#agile, #software, #engineering",https://events.vtools.ieee.org/m/210251
Intro to Cross-Platform Mobile development with React Native,Mobile devices are quickly becoming the main mode of news transmission and consumption in the world and it is becoming more and more important to be able to reach users on all of the available platforms. This is much easier said that done with Apple using Objective C and Swift while Android uses Java and Kotlin. There are many frameworks out there saying they are cross-platform but each come with their own pro's and con's. This talk will go over React Native a JavaScript based framework use for cross-platform compilation.,2019-11-20,11:30:00,2019-11-20,12:30:00,false,America/Chicago,"1525 Perimeter Parkway, Huntsville",IEEE Computer Society,"#react, #native, #javascript, #web, #software, #engineering",https://events.vtools.ieee.org/m/210252
Computer Society Call for Topics for 2021,"2020 has been rough, for business, for individuals and of course your local IEEE Computer Society. I'd like to start 2021 on the right foot and to do that I'd like to reach out to you to get ideas on topics of interest.",2020-12-17,12:00:00,2020-12-17,12:30:00,false,America/Chicago,Huntsville,IEEE Computer Society,"#CS, #Computer, #Society, #2021",https://events.vtools.ieee.org/m/251711
IEEE Computer Society Interviewing During Lockdown,2020 has been rough but life goes on and jobs come and go. Being on lockdown does not stop the interviewing process it just makes it a bit more interesting. As a hiring manager I'd like to discuss some things that you can do to be success during virtual interviews.,2020-12-18,12:00:00,2020-12-18,13:00:00,false,America/Chicago,Huntsville,IEEE Computer Society,"#interview, #CS, #Computer, #Society",https://events.vtools.ieee.org/m/251717
IEEE EMC Technical Meeting,"The Huntsville Chapter of the IEEE Electromagnetic Compatibility (EMC) Society invites you to participate in a Technical Meeting on February 18, 2021 featuring a talk given by Dr. Rainald Löhner of George Mason University. The Webex meeting will be set up for 5:45 pm. The program will begin at 6:00 pm with some short chapter status updates. 
 The EMC society welcomes the attendence of the REG 3 HSV sibling chapters and affinity groups as discussed at the February 2021 HSV Section EXCOMM. It also welcomes fellow professionals from the INCOSE Americas Sector (AA) Huntsville (HSV) Regional Chapter as agreed by Phil Boarding, Chair IEEE EMC27 and Paul A. ""Sully"" Sullivan, President INCOSE HSV. As such, it will be a Joint Meeting, with EMC27 graciously taking the lead. 
 All IEEE and INCOSE Members are reminded to register using the IEEE VTOOLS for attendence credit! 
 
 Synopsis: 
 Dr. Rainald Löhner has simulated air flows under various settings in an effort to understand, minimize and suppress the spread of pathogens such as COVID-19. The flow and particle movement has been modeled by coupled nonlinear partial and ordinary differential equations (PDEs and ODEs), allowing exchange of mass, momentum and energy. Their current focus is on optimizing ventilation systems so as to inhibit or remove pathogen transmission and optimal sensor placement in order to detect the maximum possible number of cases with a given number of sensors. The figures below illustrate the impact of proper ventilation and mask usage after a student coughs or sneezes in the middle of a classroom. Other settings have been considered including hospital rooms, airport security queues, subway trains and passages, and courtrooms. 
 
 Below is the meeting information to join the presentation. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Join WebEx meeting 
 
 
 
 
 https://ieeemeetings.webex.com/ieeemeetings/j.php?MTID=maabea88e9a4356bfe9f082862df9898d 
 
 
 
 
 Meeting number: 
 
 
 130 926 3305 
 
 
 
 
 Meeting password: 
 
 
 zZ7gPZpJf89 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Join from a video system or application 
 
 
 
 
 Dial 1309263305@ieeemeetings.webex.com 
 
 
 
 
 You can also dial 173.243.2.68 and enter your meeting number. 
 
 
 
 
 To dial from an IEEE Video Conference System: *1 130 926 3305 
 
 
 
 
 Tap to join from a mobile device (attendees only) 
 
 
 
 
 +1-415-655-0002,,1309263305## United States Toll 
 
 
 
 
 1-855-282-6330,,1309263305## United States Toll Free 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Join by phone 
 
 
 
 
 +1-415-655-0002 United States Toll 
 
 
 
 
 1-855-282-6330 United States Toll Free 
 
 
 
 
 Global call-in numbers | Toll-free calling restrictions 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Add this meeting to your calendar. (Cannot add from mobile devices.) 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Can't join the meeting? Contact support. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 IMPORTANT NOTICE: Please note that this Webex service allows audio and other information sent during the session to be recorded, which may be discoverable in a legal matter. By joining this session, you automatically consent to such recordings. If you do not consent to being recorded, discuss your concerns with the host or do not join the session.",2021-02-18,17:30:00,2021-02-18,20:00:00,false,US/Central,Huntsville,IEEE Computer Society,#COVID-19,https://events.vtools.ieee.org/m/261646
IEEE EMC Technical Meeting,"The Huntsville Chapter of the IEEE Electromagnetic Compatibility (EMC) Society invites you to participate in a Technical Meeting on September 16, 2021 featuring a talk given by Dr. Wendem Beyene of Facebook, Inc. The Virtual Meeting will be set up for 5:45 pm. The program will begin at 6:00 pm with some short chapter status updates. 
 Synopsis: 
 The presentation starts with an introduction to memory systems in computing devices such as computers, tablets or smartphones. Then, an in-depth analysis of standard memory systems for low-power and high-performance applications is provided. The interactions between the signaling, clocking architecture and packaging technology of a memory interface as well as how these interactions determine the achievable data rates and power efficiency are discussed. Signaling and clocking schemes for standard memories, including DDR3 and DDR4 (DDR5?), and mobile memories, such as LPDDR3 and LPPDR4 (LPDDR5 ?) are detailed and compared against each other. The emerging 2.5D/3D memory systems such as HBM1/2/2E, and HMC1/2 and beyond are also presented. Packaging options such as BGA, PoP, and the emerging 2.5D/3D are also discussed. To analyze and compare different state-of-the-art memory interfaces, the following metrics are used in the analysis: cost, power efficiency, bandwidth, design complexity, signal and power integrity, thermal solution, and form factor. The audience will gain an in-depth understanding of high-speed memory interfaces; learn about the interactions between the signaling, clocking architecture and packaging technology of a memory interface, and find out how those interactions determine the achievable data rates and power efficiency. The presentation will conclude by demonstrating how this knowledge can be used to analyze and compare different state-of-the-art memory interfaces to help attendees implement or select a solution which best fits their specific application. 
 
 
 
 
 
 Below is the meeting information to join the presentation. 
 
 
 
 
 
 
 
 
 
 Huntsville Chapter IEEE EMC Society September Meeting 
 
 
 
 
 Thursday, September 16, 2021 
 
 
 
 
 5:30 PM | (UTC-05:00) Central Time (US & Canada) | 3 hrs 
 
 
 
 
 
 
 
 Join WebEx meeting 
 
 
 
 
 
 
 
 
 
 https://ieeemeetings.webex.com/ieeemeetings/j.php?MTID=m1d52f191358876b35caccafff59f188a 
 
 
 
 
 Meeting number: 
 
 
 2539 257 3105 
 
 
 
 
 Meeting password: 
 
 
 jNNa8NMyi72 
 
 
 
 
 
 
 
 Join from a video system or application 
 
 
 
 
 Dial 25392573105@ieeemeetings.webex.com 
 
 
 
 
 You can also dial 173.243.2.68 and enter your meeting number. 
 
 
 
 
 
 
 
 
 
 
 To dial from an IEEE Video Conference System: *1 2539 257 3105 
 
 
 
 
 Tap to join from a mobile device (attendees only) 
 
 
 
 
 +1-415-655-0002,,25392573105## United States Toll 
 
 
 
 
 1-855-282-6330,,25392573105## United States Toll Free 
 
 
 
 
 Join by phone 
 
 
 
 
 +1-415-655-0002 United States Toll 
 
 
 
 
 1-855-282-6330 United States Toll Free",2021-09-16,17:45:00,2021-09-16,19:30:00,false,US/Central,Huntsville,IEEE Computer Society,"#Memory, #Systems",https://events.vtools.ieee.org/m/281593
TEMS Tuesdays: Metagility: Managing Agile Development for Competitive Advantage,"The Technology and Engineering Management Society of the IEEE Huntsville Section will host Dr. David Bishop, Agile Worx, LLC. Dr. Bishop will present Agile management strategies.",2021-09-21,17:30:00,2021-09-21,19:00:00,false,America/Chicago,Huntsville,IEEE Computer Society,"#agile, #software, #development, #project, #managment",https://events.vtools.ieee.org/m/279291
IEEE EMC Technical Meeting,"The Huntsville Chapter of the IEEE Electromagnetic Compatibility (EMC) Society invites you to participate in the Business Meeting on November 2, 2021 with Phil Bording facilatating the Virtual Meeting will be set up for 4:45 pm. The meeting will begin at 5:00 pm. 
 Agenda: 
 
 Determine schedule for the 2022 Meetings 
 Selection/Call for 2022 Officers 
 Call for Meeting Topics for 2022 Technical Meetings 
 New Business Discussion 
 
 
 
 
 
 
 
 
 
 Below is the meeting information to join the presentation. 
 
 
 
 
 
 
 
 
 
 Huntsville Chapter Business Meeting 
 
 
 
 
 Tuesday, November 2, 2021 
 
 
 
 
 5:00 PM | (UTC-05:00) Central Time (US & Canada) | 2 hrs 
 
 
 
 
 
 
 
 
 
 
 
 Join WebEx meeting 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 https://ieeemeetings.webex.com/ieeemeetings/j.php?MTID=mef27652e386b3257a0d7f4fa9eb161e1 
 
 
 
 
 Meeting number: 
 
 
 2534 186 0396 
 
 
 
 
 Meeting password: 
 
 
 Zmh4eZSJx33 
 
 
 
 
 Join from a video system or application 
 
 
 
 
 Dial 25341860396@ieeemeetings.webex.com 
 
 
 
 
 You can also dial 173.243.2.68 and enter your meeting number. 
 
 
 
 
 To dial from an IEEE Video Conference System: *1 2534 186 0396 
 
 
 
 
 Tap to join from a mobile device (attendees only) 
 
 
 
 
 +1-415-655-0002,,25341860396## United States Toll 
 
 
 
 
 1-855-282-6330,,25341860396## United States Toll Free 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Join by phone 
 
 
 
 
 +1-415-655-0002 United States Toll 
 
 
 
 
 1-855-282-6330 United States Toll Free",2021-11-02,17:00:00,2021-11-02,19:00:00,false,US/Central,Huntsville,IEEE Computer Society,"#Business, #Meeting",https://events.vtools.ieee.org/m/291394
Madison-based Firia Labs levels-up Educational Robotics,"Design Teardown and Startup Storytime: Madison-based Firia Labs levels-up Educational Robotics with EE/CS focus 
 This is a invited virtual talk event from the IEEE Huntsville Joint Robotics & Automation - Control Systems Chapter. 
 See the talk abstract and speaker bio below as well as Webex information to join the virtual event. Password: IEEE 
 Speaker: David Ewing, President, Firia Labs 
 Website: https://firialabs.com/ 
 Robot Simulator: https://sim.firialabs.com/",2022-04-05,17:30:00,2022-04-05,18:30:00,false,US/Central,Huntsville,IEEE Computer Society,"#JRACS, #Robotics, #Firia, #Labs",https://events.vtools.ieee.org/m/309789
Arduino Robotics Kits Introductory Class,"The IEEE Huntsville Section is donating several Arduino Robotics Kits to UAH, AAMU, and UNA to help their students learn robotics software and hardware principles. In addition, this platform will help them with the basics needed for several robotics competitions.",2022-11-30,18:00:00,2022-11-30,19:00:00,false,America/Chicago,Huntsville,IEEE Computer Society,"#robotics, #JRACS, #software, #controls",https://events.vtools.ieee.org/m/335041
"""Kill It with Fire: Manage Aging Computer Systems (and Future Proof Modern Ones)"" Talk with Marianne Bellotti","This meeting was recorded. The recording can be found at https://youtu.be/N-wfJFERRUU . 
 Marianne Bellotti, author of ""Kill It with Fire,"" believes that legacy modernization isn't about old computer systems, it's about restoring and maintaining operational excellence. The same techniques that work for our worst technical debt are critical in building new systems too. 
 Only successful software ever survives long enough to become legacy software. Yet, organizations and developers of new software repeatedly fail to learn from past issues with legacy systems. The result is a predictable series of problems with new systems. Join us for this talk with Marianne about how to modernize your legacy software and how to change your software development practices and your organization to future-proof your new software.",2023-01-10,19:00:00,2023-01-10,20:00:00,false,America/New_York,,IEEE Computer Society,"#computer, #legacy, #modernization, #migration, #WIE",https://events.vtools.ieee.org/m/334911
"TEMS Tuesday: ""Transitioning to EVs at Scale: Problems, Risks and Opportunities"" with Robert N. Charette","The Technology and Engineering Management Society of the IEEE Huntsville Section in concert with the Computer and Power & Energy Societies are excited to invite author Robert N. Charette, IEEE Life Senior Member and Life Member of TEMS, to present an overview of his IEEE Spectrum 13-part deep dive into the engineering, political, social and economic challenges of manufacturing and supporting electric vehicles at scale.",2023-05-16,11:30:00,2023-05-16,12:30:00,false,America/Chicago,,IEEE Computer Society,"#tems, #power, #computer, #systems, #technology, #engineering, #management, #STEM, #skills, #technical, #ev, #transportation, #policy, #energy, #batteries, #vehicles",https://events.vtools.ieee.org/m/358765
"Assuring the Future of Software Engineering and AI Engineering Hosted by IEEE Huntsville Section, AES & Computer Societies","My presentation examines the evolution of software and AI 
 engineering. I focus on two pivotal aspects: R&D advances needed in 
 development paradigms and architectural paradigms. Recent studies 
 predicted that within a span of a decade, there would be a 
 transformative shift in software development, where collaborative 
 endeavors between humans and AI would prioritize system building based 
 on intent versus traditional manual coding. However, the recent 
 advent of generative AI models has caused many to shift this timeline 
 to the left. 
 
 Generative AI models provide both opportunities and challenges to 
 software engineering. I concentrate on two integral domains: 
 AI-augmented software development and the engineering of AI-enabled 
 systems. Throughout my talk, I explore the potential of generative AI 
 tools in aiding various software engineering stages, ranging from 
 requirements gathering to architecture and design. A particularly 
 promising area is 'prompt patterns"" for prompt engineering, which are 
 provide valuable knowledge transfer methods for interacting with 
 generative AI models. I also discuss the distinct challenges posed by 
 AI-enabled software systems, include the need for AI traceability and 
 addressing emergent behaviors. 
 
 Drawing from my personal experiences teaching upper-division courses 
 at Vanderbilt, I demonstrate the pros and cons of applying generative 
 AI tools in the classroom. Although there are many benefits, these 
 advances are not without challenges, necessitating a reimagining of 
 assessment structures in an increasingly AI-centric world.",2023-11-02,11:15:00,2023-11-02,12:30:00,false,US/Central,"658 Discovery Dr NW, Huntsville, AL 35806, Huntsville",IEEE Computer Society,"#IEEE, #Huntsville, #Section, #ExCom, #computer, #aess, #software, #AI",https://events.vtools.ieee.org/m/373920
"DARPA Insights,  Hosted by IEEE Huntsville Section, AES & Computer Societies","The Defense Advanced Research Projects agency (DARPA) has been the DoD’s innovation engine for more than 60 years. Born out of Cold War fears that the U.S. was losing its technical superiority. DARPA mission is to prevent technological surprise for the United States, and to provide technological surprise to potential U.S. adversaries. It has been successful in envisioning and supporting the development of game changing technologies. A short list of DARPA impacts and contributions include the Saturn V’s F1 rocket engine, the first computer mouse, the M16 infantry rifle, stealth aircraft, self-driving cars, mRNA vaccines, and the internet. 
 
 DARPA attributes its success to its agility, ability to manage risk, and a constant influx of new Program Managers (PM) bring fresh ideas and perspectives. DARPA sees about 25% turnover in their PMs every year. The temporary nature of a DARPA PM position provides motivation for those individuals to dream big and to work quickly to realize their vision. However, DARPA has no laboratory of its own, all the research supported by DARPA is performed by industry, non-profits, and universities. Given the dynamic environment at DARPA there is confusion and misconceptions on the working of the organization. 
 
 This talk will provide a high-level overview of DARPA, how it works, how it evaluates research initiatives, and its organizational structure. This talk will also include a discussion on a sample of recent programs from DARPA Information Innovation Office (I2O), and some recently announced programs from I2O.",2023-11-08,12:00:00,2023-11-08,13:00:00,false,US/Central,"658 Discovery Dr NW, Huntsville, AL 35806, Huntsville",IEEE Computer Society,"#IEEE, #Huntsville, #Section, #ExCom, #computer, #aess, #software, #AI, #Software, #DARPA",https://events.vtools.ieee.org/m/380734
